subject,sfreq,C3_db,C3_hz,C4_db,C4_hz,Cz_db,Cz_hz,mean_db,min_db
030,160.0,2.049392366872728,12.0,0.7224699042235203,12.5,3.425384864349951,10.0,2.065749045148733,0.7224699042235203
031,160.0,4.3238551098778935,8.0,5.916879507176055,8.0,7.756160370759866,8.0,5.998964995937938,4.3238551098778935
032,160.0,0.05553853234070717,11.5,-0.28775304914868316,14.0,0.12348965840789486,7.5,-0.036241619466693714,-0.28775304914868316
033,160.0,11.221066244654228,10.0,12.01714616749995,10.5,4.67380769774995,10.5,9.304006703301376,4.67380769774995
034,160.0,7.437445084995185,10.0,10.19623688565466,10.5,3.2457450040193816,10.0,6.95980899155641,3.2457450040193816
035,160.0,9.64689549878693,12.0,13.120229764275726,11.5,5.39281245070799,11.5,9.386645904590216,5.39281245070799
036,160.0,1.2458665786428265,8.5,0.1601002049115846,10.0,0.18499972264777315,8.5,0.5303221687340613,0.1601002049115846
037,160.0,-0.574912309339942,7.5,0.2397073741688033,9.5,-0.4696259927817703,7.0,-0.268276975984303,-0.574912309339942
038,160.0,0.5932932718774555,7.0,0.853851320745313,8.5,0.5257923813806328,10.5,0.6576456580011337,0.5257923813806328
039,160.0,1.8344439568349757,10.5,1.7553336005372513,10.5,3.6883823877916107,8.5,2.4260533150546126,1.7553336005372513
040,160.0,0.9978472636633364,9.0,1.3074571238227386,12.0,0.31294761970324575,14.0,0.8727506690631069,0.31294761970324575
041,160.0,0.09338009226594447,9.0,0.7584642567930868,14.0,0.2624064922223864,14.0,0.37141694709380585,0.09338009226594447
042,160.0,15.85209839579477,12.5,20.322248307402155,13.0,15.74998749841444,13.0,17.308111400537122,15.74998749841444
043,160.0,2.460050849195964,11.5,2.473744748268823,11.5,-0.044645630502065,11.5,1.6297166556542406,-0.044645630502065
044,160.0,4.904421449426833,12.0,5.96720974904346,12.5,1.9915618108513378,12.0,4.2877310031072104,1.9915618108513378
045,160.0,0.6200045176139589,11.0,0.5132966019405537,11.0,1.5213137620970407,11.0,0.8848716272171844,0.5132966019405537
046,160.0,1.2733748710710269,7.0,1.6440114139419744,7.0,1.1995841125670592,13.0,1.3723234658600203,1.1995841125670592
047,160.0,1.7418395938090323,13.0,1.1190033632084455,13.0,1.7201246657265048,13.0,1.5269892075813274,1.1190033632084455
048,160.0,10.558867621742777,10.5,6.4261321958063125,9.0,6.641123335588629,10.0,7.875374384379239,6.4261321958063125
049,160.0,-0.35468742615749105,10.5,-0.6815378649392498,7.0,-2.571784747277313,7.0,-1.2026700127913512,-2.571784747277313
050,160.0,0.1721031319339014,9.0,0.4867808734501244,14.0,1.836487147076227,14.0,0.8317903841534177,0.1721031319339014
051,160.0,0.09256339886157956,10.0,-0.3814044512691384,10.0,0.5842754675860564,14.0,0.09847813839283252,-0.3814044512691384
052,160.0,6.717220826770851,11.5,8.449913783175045,12.5,3.1559942273548884,12.5,6.107709612433595,3.1559942273548884
053,160.0,0.4391600135008069,13.5,0.3848359196126354,8.5,0.31196539500251624,11.0,0.37865377603865286,0.31196539500251624
054,160.0,7.3419697010263265,11.5,10.176950954045447,10.5,3.2969086913206547,11.0,6.93860978213081,3.2969086913206547
055,160.0,2.9002381222369857,12.0,7.961180954625762,12.0,1.3481027488560473,13.0,4.069840608572932,1.3481027488560473
056,160.0,2.263349699087583,8.5,2.0678407830913508,10.0,3.313528518391047,10.0,2.5482396668566607,2.0678407830913508
057,160.0,0.4939196815357626,8.5,0.31097085490222753,9.0,-0.9083020176588572,8.0,-0.03447049374028902,-0.9083020176588572
058,160.0,-1.5841304754237975,14.0,-0.9224231074566134,7.5,-0.6750712720586033,7.5,-1.0605416183130048,-1.5841304754237975
059,160.0,4.352716429490344,11.5,1.2449129383487283,11.5,-0.09445632780317706,12.5,1.8343910133452985,-0.09445632780317706
060,160.0,15.159610979619934,11.0,13.593269396733731,11.5,0.8903798042561373,11.0,9.881086726869935,0.8903798042561373
061,160.0,4.484845290780025,13.0,3.825815986073085,12.5,0.8833467143632223,9.0,3.064669330405444,0.8833467143632223
062,160.0,8.543406057874268,11.5,10.43628777845248,12.0,8.32761731755124,11.5,9.102437051292663,8.32761731755124
063,160.0,-0.14743945181979842,7.0,1.0841385773160779,13.0,-0.09931712025872552,8.0,0.27912733507918464,-0.14743945181979842
064,160.0,-0.3762688082902999,7.5,0.049538055357714286,7.5,0.2505748338251187,8.0,-0.025385306369155647,-0.3762688082902999
065,160.0,1.0138376810813896,10.0,0.9070072224583435,14.0,2.8261967047932917,8.0,1.5823472027776748,0.9070072224583435
066,160.0,3.8296835029676575,9.0,1.0647893255910064,13.5,2.4390397811551336,12.0,2.4445042032379325,1.0647893255910064
067,160.0,1.0174561875758763,12.0,1.1209509147992156,12.0,-0.3173332149835135,7.0,0.6070246291305261,-0.3173332149835135
068,160.0,1.1826913914357131,11.5,2.5027541755822647,10.5,3.170813727720681,10.5,2.2854197649128865,1.1826913914357131
069,160.0,0.3276186953568166,14.0,0.008458080057572592,12.0,0.24757487292681052,11.0,0.1945505494470666,0.008458080057572592
070,160.0,3.0987190098255986,13.5,3.784742500442369,14.0,0.9874465163520835,9.0,2.62363600887335,0.9874465163520835
071,160.0,1.6994396465567716,12.0,3.228702962781844,12.5,0.84057395511963,11.0,1.922905521486082,0.84057395511963
072,160.0,12.799087427739053,11.0,12.655195277286408,10.5,3.9817080350123653,10.5,9.811996913345942,3.9817080350123653
073,160.0,-0.2601199631217592,14.0,-0.646897681279794,10.5,0.9708604775265308,8.5,0.021280944374992544,-0.646897681279794
074,160.0,0.5031426943589907,13.0,4.187047909875393,14.0,0.7257848812744433,9.5,1.805325161836276,0.5031426943589907
075,160.0,5.624466460991979,11.5,5.278863492532013,11.5,1.3814654237229544,7.0,4.0949317924156485,1.3814654237229544
076,160.0,-0.12973048829043587,14.0,-0.6953621044452181,9.0,-0.3348709602264244,7.0,-0.3866545176540261,-0.6953621044452181
077,160.0,0.2890503840278185,12.5,0.37267675381449294,11.5,-0.0015915831584104134,7.0,0.22004518489463368,-0.0015915831584104134
078,160.0,1.8262786438483585,13.0,1.2917148377725498,8.5,0.9013784190000695,12.0,1.339790633540326,0.9013784190000695
079,160.0,0.7322990638017999,11.0,1.2456064649141136,11.5,0.3281247323466434,10.5,0.7686767536875191,0.3281247323466434
080,160.0,1.2717906737380846,12.0,0.8065940345432143,10.0,0.9472867606062957,11.0,1.008557156295865,0.8065940345432143
081,160.0,0.2694022247269119,10.5,3.659803171405231,11.0,1.3333285894563387,12.5,1.7541779951961605,0.2694022247269119
082,160.0,1.0331451345425395,12.0,1.798651197053112,9.5,0.39279486254044343,10.0,1.0748637313786984,0.39279486254044343
083,160.0,0.4467171452189373,9.0,5.173560563333636,12.0,1.2123953397971516,13.0,2.2775576827832413,0.4467171452189373
084,160.0,3.555736047715091,11.0,5.232213577404737,11.0,0.9897566987364881,11.5,3.259235441285439,0.9897566987364881
085,160.0,6.137818649503192,12.0,5.668640238083656,12.0,2.785794682573325,12.0,4.864084523386724,2.785794682573325
086,160.0,0.5957091930398457,10.5,1.298582376892383,12.0,1.5663288116184126,8.0,1.153540127183547,0.5957091930398457
087,160.0,0.6462166793475893,11.0,0.920965914862521,8.0,5.692437465489844,7.0,2.419873353233318,0.6462166793475893
088,160.0,1.1346011878508149,11.0,0.926362811971529,13.0,0.6801622532652084,8.0,0.9137087510291843,0.6801622532652084
089,160.0,-0.12861234538726235,12.5,0.2657310132759828,8.5,-0.9826319487219469,7.0,-0.28183776027774216,-0.9826319487219469
090,160.0,0.3759388661346205,14.0,-0.10498896238940814,9.5,0.18596470464987575,8.5,0.15230486946502939,-0.10498896238940814
091,160.0,-1.2276247282186648,12.0,0.02513677394862262,13.5,-0.08747475476552935,11.5,-0.42998756967852386,-1.2276247282186648
092,160.0,3.0152847855488463,10.5,10.243229230636437,10.5,1.8220926878936452,11.0,5.026868901359643,1.8220926878936452
093,160.0,5.650291156184112,11.0,9.762478182209476,11.0,3.3233731448566584,11.0,6.245380827750083,3.3233731448566584
094,160.0,2.682312198553905,11.5,5.177806051716702,12.0,3.7834160496362257,12.5,3.881178099968944,2.682312198553905
095,160.0,0.5508988859190348,12.5,1.6779150757371273,12.5,1.595634793894206,9.5,1.2748162518501227,0.5508988859190348
096,160.0,1.9250664667135449,9.5,0.9922076244553047,11.5,1.368921501935484,7.0,1.4287318643681113,0.9922076244553047
097,160.0,0.7395439076177119,14.0,0.6242651450501613,8.5,1.1266704477934077,9.5,0.8301598334870937,0.6242651450501613
098,160.0,16.47199517485216,11.0,7.853854256164993,11.0,8.757432606819345,10.5,11.027760679278833,7.853854256164993
099,160.0,0.5393873184862399,12.5,1.87003231811881,8.0,1.635137902596338,9.0,1.3481858464004628,0.5393873184862399
100,160.0,13.252914745139023,11.5,3.5534681701614597,11.5,10.552538871830786,11.0,9.119640595710422,3.5534681701614597
101,160.0,1.38976890104916,7.0,0.8257122423641776,13.0,1.8059210556764955,13.0,1.340467399696611,0.8257122423641776
102,160.0,0.07089926760383328,8.5,-0.24093521250429376,12.5,0.5206281594081414,9.5,0.11686407150256033,-0.24093521250429376
103,160.0,4.965762617429917,10.5,3.703243069397189,10.0,5.4187997824698195,10.0,4.695935156432308,3.703243069397189
104,160.0,1.1326438054852168,10.0,2.0190592594309384,9.0,2.0254721875002026,9.0,1.7257250841387861,1.1326438054852168
105,160.0,9.040813585436403,11.5,2.944454009990878,11.0,3.439053850548607,10.0,5.141440481991963,2.944454009990878
106,160.0,2.5787197459520073,9.0,4.516691595471349,9.0,1.1742038021780983,9.5,2.756538381200485,1.1742038021780983
107,160.0,2.0438233961074794,12.0,3.7156439864101665,10.5,1.898651975513371,10.5,2.552706452677006,1.898651975513371
108,160.0,9.528041009816238,11.0,8.580651967036337,11.0,4.4702799958110715,11.0,7.526324324221215,4.4702799958110715
109,160.0,0.41462045651483037,9.5,2.3324137760640946,10.0,0.07648530779540581,12.5,0.941173180124777,0.07648530779540581
